1.LAYING 2.LAYING 3.LAYING 4.LAYING 5.LAYING 6.LAYING 7.LAYING 8.LAYING 9.LAYING 10.LAYING 11.LAYING 12.LAYING 13.LAYING 14.LAYING 15.LAYING 16.LAYING 17.LAYING 18.LAYING 19.LAYING 20.LAYING 21.LAYING 22.LAYING 23.LAYING 24.LAYING 25.LAYING 26.LAYING 27.LAYING 28.LAYING 29.LAYING 30.LAYING 1.SITTING 2.SITTING 3.SITTING 4.SITTING 5.SITTING 6.SITTING 7.SITTING 8.SITTING 9.SITTING 10.SITTING 11.SITTING 12.SITTING 13.SITTING 14.SITTING 15.SITTING 16.SITTING 17.SITTING 18.SITTING 19.SITTING 20.SITTING 21.SITTING 22.SITTING 23.SITTING 24.SITTING 25.SITTING 26.SITTING 27.SITTING 28.SITTING 29.SITTING 30.SITTING 1.STANDING 2.STANDING 3.STANDING 4.STANDING 5.STANDING 6.STANDING 7.STANDING 8.STANDING 9.STANDING 10.STANDING 11.STANDING 12.STANDING 13.STANDING 14.STANDING 15.STANDING 16.STANDING 17.STANDING 18.STANDING 19.STANDING 20.STANDING 21.STANDING 22.STANDING 23.STANDING 24.STANDING 25.STANDING 26.STANDING 27.STANDING 28.STANDING 29.STANDING 30.STANDING 1.WALKING 2.WALKING 3.WALKING 4.WALKING 5.WALKING 6.WALKING 7.WALKING 8.WALKING 9.WALKING 10.WALKING 11.WALKING 12.WALKING 13.WALKING 14.WALKING 15.WALKING 16.WALKING 17.WALKING 18.WALKING 19.WALKING 20.WALKING 21.WALKING 22.WALKING 23.WALKING 24.WALKING 25.WALKING 26.WALKING 27.WALKING 28.WALKING 29.WALKING 30.WALKING 1.WALKING_DOWNSTAIRS 2.WALKING_DOWNSTAIRS 3.WALKING_DOWNSTAIRS 4.WALKING_DOWNSTAIRS 5.WALKING_DOWNSTAIRS 6.WALKING_DOWNSTAIRS 7.WALKING_DOWNSTAIRS 8.WALKING_DOWNSTAIRS 9.WALKING_DOWNSTAIRS 10.WALKING_DOWNSTAIRS 11.WALKING_DOWNSTAIRS 12.WALKING_DOWNSTAIRS 13.WALKING_DOWNSTAIRS 14.WALKING_DOWNSTAIRS 15.WALKING_DOWNSTAIRS 16.WALKING_DOWNSTAIRS 17.WALKING_DOWNSTAIRS 18.WALKING_DOWNSTAIRS 19.WALKING_DOWNSTAIRS 20.WALKING_DOWNSTAIRS 21.WALKING_DOWNSTAIRS 22.WALKING_DOWNSTAIRS 23.WALKING_DOWNSTAIRS 24.WALKING_DOWNSTAIRS 25.WALKING_DOWNSTAIRS 26.WALKING_DOWNSTAIRS 27.WALKING_DOWNSTAIRS 28.WALKING_DOWNSTAIRS 29.WALKING_DOWNSTAIRS 30.WALKING_DOWNSTAIRS 1.WALKING_UPSTAIRS 2.WALKING_UPSTAIRS 3.WALKING_UPSTAIRS 4.WALKING_UPSTAIRS 5.WALKING_UPSTAIRS 6.WALKING_UPSTAIRS 7.WALKING_UPSTAIRS 8.WALKING_UPSTAIRS 9.WALKING_UPSTAIRS 10.WALKING_UPSTAIRS 11.WALKING_UPSTAIRS 12.WALKING_UPSTAIRS 13.WALKING_UPSTAIRS 14.WALKING_UPSTAIRS 15.WALKING_UPSTAIRS 16.WALKING_UPSTAIRS 17.WALKING_UPSTAIRS 18.WALKING_UPSTAIRS 19.WALKING_UPSTAIRS 20.WALKING_UPSTAIRS 21.WALKING_UPSTAIRS 22.WALKING_UPSTAIRS 23.WALKING_UPSTAIRS 24.WALKING_UPSTAIRS 25.WALKING_UPSTAIRS 26.WALKING_UPSTAIRS 27.WALKING_UPSTAIRS 28.WALKING_UPSTAIRS 29.WALKING_UPSTAIRS 30.WALKING_UPSTAIRS
tBodyAcc.mean.X 0.221598 0.281373 0.275517 0.263559 0.278334 0.248657 0.250177 0.261254 0.259196 0.280231 0.280593 0.260113 0.276716 0.233275 0.289476 0.274227 0.26978 0.274692 0.272654 0.239508 0.271325 0.27996 0.274038 0.27285 0.250792 0.271646 0.274102 0.275913 0.287295 0.281034 0.261238 0.277087 0.257198 0.271538 0.273694 0.276778 0.284675 0.267491 0.248327 0.270612 0.27659 0.275007 0.274328 0.279991 0.272903 0.280769 0.277357 0.27727 0.27383 0.278045 0.27754 0.273584 0.273351 0.273476 0.278541 0.258244 0.273941 0.276978 0.27718 0.268336 0.278918 0.277911 0.280047 0.2805 0.282544 0.280346 0.282724 0.279621 0.28231 0.27665 0.277716 0.277406 0.277758 0.280546 0.278916 0.283497 0.277943 0.278459 0.278172 0.278077 0.276952 0.279054 0.277899 0.280349 0.278014 0.281127 0.279567 0.277795 0.277965 0.277113 0.277331 0.276427 0.275567 0.278582 0.277842 0.283659 0.275593 0.274686 0.278503 0.278574 0.271822 0.277129 0.275883 0.27196 0.273899 0.276024 0.272342 0.273888 0.273931 0.272589 0.279184 0.278865 0.273212 0.276981 0.278993 0.279264 0.276849 0.281228 0.272 0.276407 0.289188 0.277615 0.292423 0.279965 0.293544 0.277045 0.280307 0.283484 0.295923 0.290402 0.291606 0.281521 0.294908 0.293422 0.280199 0.295587 0.293918 0.288439 0.262688 0.296144 0.301461 0.284459 0.289897 0.288631 0.29133 0.279285 0.297544 0.293642 0.29314 0.283191 0.255462 0.247165 0.26082 0.270877 0.268459 0.268229 0.248707 0.25888 0.262436 0.267122 0.263776 0.27297 0.258204 0.262421 0.270188 0.255986 0.252605 0.265401 0.242119 0.252098 0.265195 0.248392 0.249995 0.269881 0.277995 0.272691 0.26577 0.262006 0.265423 0.271416
tBodyAcc.mean.Y -0.040514 -0.018159 -0.018956 -0.015003 -0.018304 -0.010253 -0.020441 -0.021228 -0.020527 -0.024294 -0.01766 -0.01752 -0.02044 -0.011342 -0.01663 -0.01661 -0.016846 -0.017394 -0.017143 -0.014441 -0.018423 -0.014263 -0.021655 -0.017356 -0.018894 -0.01919 -0.017987 -0.016754 -0.017197 -0.019449 -0.001308 -0.015688 -0.003503 -0.007163 -0.009901 -0.014591 -0.014611 -0.006726 -0.027017 -0.015043 -0.01492 -0.015789 -0.005877 -0.008706 -0.011719 -0.01025 -0.014156 -0.012869 -0.016739 -0.014723 -0.014401 -0.012347 -0.013395 -0.013126 -0.01477 -0.007134 -0.015527 -0.01854 -0.016631 -0.008047 -0.016138 -0.018421 -0.014338 -0.009489 -0.007004 -0.018124 -0.014574 -0.014811 -0.020045 -0.015542 -0.017199 -0.0169 -0.016789 -0.015208 -0.018352 -0.0166 -0.017412 -0.016635 -0.015424 -0.01807 -0.016708 -0.015856 -0.017748 -0.014479 -0.016357 -0.016661 -0.016593 -0.017264 -0.017261 -0.017016 -0.017384 -0.018595 -0.017177 -0.01484 -0.017285 -0.016895 -0.018654 -0.018663 -0.018089 -0.017022 -0.016648 -0.015561 -0.018566 -0.021779 -0.017081 -0.020429 -0.018488 -0.017802 -0.019177 -0.0212 -0.018161 -0.016721 -0.018362 -0.022545 -0.018648 -0.015426 -0.016648 -0.015676 -0.016292 -0.017588 -0.009919 -0.022661 -0.019355 -0.009802 -0.008501 -0.019537 -0.016633 -0.021106 -0.020399 -0.020005 -0.01781 -0.018084 -0.014372 -0.020014 -0.00563 -0.01839 -0.016736 -0.016867 -0.014594 -0.009641 -0.01732 -0.0198 -0.016211 -0.014573 -0.021017 -0.012626 -0.013556 -0.022023 -0.014941 -0.017438 -0.023953 -0.021412 -0.032411 -0.03198 -0.032527 -0.027243 -0.027564 -0.028242 -0.01951 -0.014385 -0.030316 -0.026357 -0.027739 -0.020439 -0.028752 -0.014365 -0.022865 -0.022206 -0.030399 -0.028226 -0.023722 -0.026862 -0.032384 -0.025198 -0.026986 -0.028163 -0.020095 -0.027944 -0.029947 -0.025331
tBodyAcc.mean.Z -0.113204 -0.107246 -0.1013 -0.110688 -0.107938 -0.13312 -0.101361 -0.102245 -0.10755 -0.117169 -0.108787 -0.10816 -0.104332 -0.086833 -0.11853 -0.10731 -0.107006 -0.107699 -0.108981 -0.104274 -0.103254 -0.110801 -0.104257 -0.107236 -0.100429 -0.105003 -0.1077 -0.108345 -0.109462 -0.103658 -0.104544 -0.109218 -0.098358 -0.105875 -0.10854 -0.110128 -0.122465 -0.104461 -0.075378 -0.104253 -0.11284 -0.106307 -0.097247 -0.100401 -0.113661 -0.08914 -0.113624 -0.111905 -0.108708 -0.10837 -0.112058 -0.105827 -0.103809 -0.103041 -0.10916 -0.097445 -0.105522 -0.111518 -0.110412 -0.099515 -0.110602 -0.105909 -0.101622 -0.096157 -0.102171 -0.112173 -0.099778 -0.106115 -0.095275 -0.107964 -0.108687 -0.105527 -0.112124 -0.103818 -0.105911 -0.103658 -0.111432 -0.108453 -0.109042 -0.100403 -0.110418 -0.104967 -0.110597 -0.108223 -0.107353 -0.110238 -0.107836 -0.106579 -0.108659 -0.108756 -0.111148 -0.1055 -0.112675 -0.111403 -0.107742 -0.110303 -0.110912 -0.107252 -0.110821 -0.109058 -0.106096 -0.103161 -0.111431 -0.106756 -0.107622 -0.108804 -0.109792 -0.104218 -0.122737 -0.113539 -0.104319 -0.107113 -0.113383 -0.110596 -0.108738 -0.108927 -0.112822 -0.103715 -0.106632 -0.098625 -0.107566 -0.116813 -0.11614 -0.106778 -0.10032 -0.107209 -0.096938 -0.107598 -0.091028 -0.110849 -0.11107 -0.109556 -0.101994 -0.092833 -0.110526 -0.119874 -0.089243 -0.103391 -0.133695 -0.104603 -0.098169 -0.107416 -0.098812 -0.104819 -0.107192 -0.10644 -0.112838 -0.108589 -0.098134 -0.099978 -0.097302 -0.152514 -0.110065 -0.114219 -0.107471 -0.122082 -0.14377 -0.115122 -0.125219 -0.11818 -0.106797 -0.10734 -0.125767 -0.11228 -0.116952 -0.124075 -0.12129 -0.112656 -0.151055 -0.121024 -0.125414 -0.117551 -0.126891 -0.114249 -0.12621 -0.121943 -0.12353 -0.121514 -0.118001 -0.124697
tBodyAcc.std.X -0.928056 -0.974059 -0.982777 -0.954194 -0.965935 -0.934049 -0.936514 -0.943041 -0.942333 -0.968284 -0.984777 -0.955319 -0.968892 -0.917502 -0.972256 -0.973691 -0.972961 -0.984528 -0.96502 -0.962249 -0.95502 -0.947735 -0.956756 -0.967984 -0.909116 -0.969445 -0.978455 -0.968888 -0.98422 -0.976363 -0.977229 -0.986822 -0.97101 -0.98031 -0.980945 -0.980165 -0.972668 -0.979026 -0.957228 -0.982902 -0.982797 -0.982569 -0.989546 -0.976302 -0.987084 -0.986826 -0.994444 -0.994348 -0.976358 -0.983082 -0.991777 -0.978467 -0.987608 -0.990594 -0.991893 -0.979769 -0.98858 -0.983273 -0.990745 -0.983623 -0.99576 -0.987272 -0.966743 -0.976921 -0.968592 -0.981758 -0.979308 -0.988815 -0.975741 -0.978403 -0.994979 -0.981244 -0.991021 -0.973269 -0.988949 -0.989077 -0.991164 -0.99202 -0.989911 -0.96721 -0.98142 -0.985001 -0.985422 -0.987256 -0.99197 -0.993069 -0.991952 -0.977749 -0.996069 -0.977559 -0.28374 -0.423643 -0.360357 -0.44083 -0.294099 -0.296539 -0.327243 -0.173606 -0.238354 -0.17871 -0.422842 -0.128899 -0.34698 -0.402639 -0.327962 -0.404693 -0.3195 -0.376006 -0.048905 -0.208343 -0.297815 -0.008659 -0.313522 -0.470762 -0.596007 -0.340186 -0.348476 -0.293004 -0.174338 -0.346394 0.030035 0.046367 -0.05741 0.011194 0.275046 0.383682 0.066082 0.024139 0.213392 0.295734 0.142457 0.042408 -0.068156 0.017831 0.406471 0.207252 0.18772 -0.302635 0.626917 0.07451 0.224343 0.348618 0.044139 -0.082732 -0.253757 0.173954 0.167408 0.125713 0.167384 -0.05777 -0.354708 -0.304376 -0.313123 -0.204933 -0.045724 -0.050135 -0.294873 -0.171712 -0.361444 -0.161592 -0.238803 -0.290149 -0.296285 -0.309397 -0.026097 -0.397084 -0.062953 -0.380168 -0.128742 -0.116089 -0.240808 0.083574 -0.243888 -0.344399 -0.459776 -0.169007 -0.29544 -0.242062 -0.086772 -0.350504
tBodyAcc.std.Y -0.836827 -0.980277 -0.962058 -0.941714 -0.969296 -0.924645 -0.926263 -0.934891 -0.916293 -0.946454 -0.972197 -0.949072 -0.950948 -0.909697 -0.962759 -0.943061 -0.944793 -0.986161 -0.97345 -0.964098 -0.956959 -0.913276 -0.97631 -0.983126 -0.691771 -0.983231 -0.983736 -0.945387 -0.990241 -0.954202 -0.922619 -0.950704 -0.856618 -0.890224 -0.904335 -0.923682 -0.909455 -0.927332 -0.875141 -0.91798 -0.921402 -0.928581 -0.938968 -0.914936 -0.922407 -0.951608 -0.961859 -0.974928 -0.950389 -0.936123 -0.966878 -0.928059 -0.934934 -0.956256 -0.947458 -0.940799 -0.971579 -0.939905 -0.963222 -0.937857 -0.97319 -0.957305 -0.893449 -0.861597 -0.86944 -0.921493 -0.923401 -0.938479 -0.938636 -0.919562 -0.964173 -0.92314 -0.949422 -0.928526 -0.9319 -0.960298 -0.968177 -0.954223 -0.94443 -0.87541 -0.943602 -0.922693 -0.958444 -0.936872 -0.954569 -0.949466 -0.955171 -0.875689 -0.969296 -0.891655 0.114461 -0.078091 -0.069914 -0.078827 0.076748 0.164214 -0.077262 0.380782 -0.201697 -0.022743 -0.052212 -0.122783 0.141867 -0.053613 0.138913 -0.31457 -0.01758 -0.227006 0.181802 0.489772 0.054088 0.100384 -0.119021 -0.154127 -0.161852 -0.136351 -0.187301 -0.117886 -0.091754 -0.17355 -0.031936 0.262882 -0.03315 -0.218598 0.090763 0.360165 -0.138179 0.343826 -0.208311 0.004079 0.070812 0.110835 -0.032125 0.37887 0.186532 -0.146994 -0.060789 -0.254214 0.514816 0.616937 0.301336 0.239812 0.108259 -0.102607 -0.140541 -0.01163 -0.097971 0.156497 -0.122463 -0.027263 -0.00232 0.108027 0.011628 -0.06669 0.185022 0.189276 -0.32616 0.348769 -0.302206 -0.005553 -0.103168 -0.103818 0.104471 0.307196 -0.004065 -0.163733 -0.013172 -0.211155 0.17635 0.152196 0.109787 0.250068 0.044844 -0.116804 -0.223087 -0.049173 -0.09501 -0.146754 -0.122128 -0.127311
tBodyAcc.std.Z -0.826061 -0.984233 -0.963691 -0.962667 -0.968563 -0.925216 -0.952978 -0.932491 -0.940707 -0.959471 -0.971311 -0.948334 -0.950393 -0.900332 -0.929587 -0.96549 -0.953477 -0.987659 -0.984673 -0.972572 -0.945654 -0.942946 -0.973223 -0.973567 -0.717262 -0.9845 -0.986637 -0.95645 -0.987255 -0.967044 -0.939586 -0.959828 -0.87511 -0.932203 -0.926095 -0.925797 -0.856533 -0.939553 -0.832002 -0.967827 -0.96837 -0.939662 -0.938641 -0.922775 -0.949338 -0.939672 -0.965729 -0.977573 -0.95193 -0.929106 -0.959568 -0.917565 -0.905584 -0.957056 -0.96514 -0.950004 -0.965859 -0.936667 -0.968064 -0.950654 -0.979776 -0.949742 -0.911419 -0.896881 -0.869327 -0.925692 -0.917064 -0.926065 -0.919296 -0.941271 -0.986383 -0.920685 -0.967538 -0.922276 -0.95167 -0.953469 -0.970463 -0.961874 -0.9526 -0.913142 -0.946123 -0.942202 -0.92941 -0.930284 -0.964643 -0.962988 -0.962408 -0.905124 -0.980207 -0.912851 -0.260028 -0.425258 -0.387412 -0.586253 -0.457021 -0.504324 0.159631 -0.142089 -0.057964 -0.395645 -0.530626 -0.410606 -0.220504 0.051884 -0.518933 -0.1598 -0.265824 -0.428348 -0.139478 -0.228734 -0.168689 -0.213352 0.164221 -0.28884 -0.437133 -0.333487 -0.297318 -0.300928 -0.242828 -0.120477 -0.230434 -0.102838 -0.36224 -0.479186 -0.325891 -0.320204 -0.06364 0.133717 -0.007715 -0.183558 -0.324027 -0.425017 -0.158333 0.451576 -0.281982 0.011435 -0.231064 -0.41861 0.049322 -0.160939 -0.071789 -0.325723 0.229899 -0.205566 -0.457972 -0.284808 -0.240041 -0.341032 -0.223178 -0.217276 -0.019479 -0.112121 -0.369755 -0.372138 -0.308939 -0.35352 -0.145665 0.121187 -0.253434 -0.073874 -0.203369 -0.436697 -0.217211 0.609018 -0.379717 -0.129284 -0.230221 -0.314373 -0.190469 -0.229249 -0.219708 -0.109613 0.100801 -0.255601 -0.296524 -0.404597 -0.230708 -0.285987 0.099544 0.024947
tGravityAcc.mean.X -0.248882 -0.509754 -0.241758 -0.420665 -0.483471 -0.47671 -0.502814 -0.40593 -0.580253 -0.45307 -0.134832 -0.378592 -0.156852 -0.145484 -0.171993 -0.206784 -0.199133 -0.220601 -0.680043 -0.472431 -0.174349 -0.418495 -0.391565 -0.359293 -0.461103 -0.62131 -0.530435 -0.490335 -0.34679 -0.344738 0.83151 0.940477 0.901099 0.869303 0.880731 0.933693 0.969148 0.832454 0.916325 0.791887 0.871964 0.926229 0.925577 0.939039 0.890364 0.942457 0.944884 0.909816 0.581372 0.924455 0.940031 0.839306 0.936509 0.919638 0.865686 0.782956 0.839465 0.907331 0.891564 0.825474 0.942952 0.896929 0.935031 0.956198 0.960189 0.945139 0.958729 0.95767 0.961324 0.954009 0.956465 0.957318 0.942695 0.87532 0.965529 0.941588 0.904679 0.947573 0.944046 0.911232 0.881213 0.954064 0.919857 0.966442 0.929795 0.965461 0.965351 0.948515 0.974509 0.968557 0.935223 0.913017 0.936507 0.964 0.972625 0.958067 0.932566 0.913586 0.951867 0.963092 0.946468 0.966874 0.910856 0.802974 0.951524 0.925981 0.928112 0.923865 0.935223 0.899965 0.862525 0.936096 0.93981 0.959701 0.937483 0.960648 0.944759 0.94293 0.962374 0.965218 0.931874 0.861831 0.939058 0.947732 0.956649 0.928531 0.930624 0.914023 0.938418 0.939807 0.941746 0.949862 0.941876 0.816296 0.932302 0.917818 0.928818 0.932277 0.881941 0.919727 0.872683 0.921821 0.923711 0.950883 0.929628 0.946797 0.93138 0.929292 0.948486 0.958 0.893351 0.790717 0.883533 0.946264 0.936822 0.913632 0.818747 0.860369 0.902648 0.931861 0.892626 0.938371 0.847634 0.688256 0.918545 0.826874 0.853531 0.88333 0.829428 0.777096 0.781177 0.889454 0.843439 0.90637 0.927693 0.942095 0.868 0.854508 0.929259 0.93183
tGravityAcc.mean.Y 0.70555 0.752537 0.837032 0.915165 0.95489 0.956594 0.393444 0.589922 -0.119154 -0.139298 0.943018 0.803379 0.656401 0.485397 0.899243 -0.019927 0.658792 0.719755 0.725647 0.864883 0.599993 0.632484 0.438434 0.738431 0.620659 0.803015 0.567879 0.144073 0.807535 0.732661 0.204412 -0.10563 0.127303 0.211623 0.168446 0.068263 0.006088 0.240095 -0.041426 -0.041261 0.213716 0.083051 0.10177 -0.036453 0.210849 -0.086588 -0.002815 0.129886 0.360344 0.073339 0.021521 0.208554 0.121751 0.182255 0.208287 0.223106 0.212947 -0.112597 0.155659 0.114588 -0.272984 -0.370063 -0.301735 -0.075901 -0.03871 -0.230251 -0.117607 -0.09046 -0.010384 -0.04316 -0.173083 -0.218865 -0.239943 -0.226692 -0.164713 -0.057887 -0.257487 -0.204206 -0.223898 -0.305939 -0.346156 -0.226419 -0.117401 -0.145201 -0.159317 -0.140315 -0.188505 -0.247656 -0.058487 -0.100297 -0.282165 -0.346607 -0.261986 -0.085854 -0.10044 -0.214695 -0.159097 -0.217102 -0.031434 -0.083828 -0.212046 -0.155983 -0.283659 -0.270315 -0.233918 -0.066825 -0.179927 -0.254317 -0.223338 -0.344444 -0.370985 -0.259645 -0.161761 -0.115116 -0.127316 -0.133922 -0.187497 -0.229316 -0.127318 -0.157674 -0.26661 -0.32578 -0.228829 -0.062085 -0.060758 -0.214046 -0.129872 -0.18761 -0.03523 -0.064616 -0.200322 -0.178702 -0.211555 -0.264255 -0.167462 -0.058483 -0.151077 -0.225809 -0.215018 -0.27742 -0.356673 -0.222215 -0.110029 -0.128327 -0.072427 -0.0799 -0.166939 -0.235897 -0.076096 -0.12671 -0.362153 -0.416215 -0.382851 -0.232944 -0.265943 -0.340733 -0.240951 -0.291341 -0.037795 -0.056567 -0.343577 -0.259144 -0.357405 -0.32268 -0.314961 -0.080593 -0.284154 -0.31662 -0.387101 -0.479895 -0.43231 -0.336827 -0.214482 -0.237498 -0.217641 -0.24617 -0.229279 -0.333224 -0.22712 -0.226647
tGravityAcc.mean.Z 0.445818 0.646835 0.488703 0.341531 0.263645 0.175868 0.907538 0.719832 0.957873 -0.031122 0.11262 0.275043 0.598885 0.836563 -0.036919 0.893884 0.722658 0.605495 0.687624 0.477573 0.788251 0.771904 0.918783 0.68384 0.526354 0.614523 0.845392 0.015757 0.590452 0.681459 0.332044 0.198727 0.139021 0.11012 0.143007 0.069522 0.064964 0.263895 0.085263 0.202535 0.188532 0.088564 0.075777 -0.094597 0.002816 0.089268 -0.135804 0.161877 0.489127 0.151679 -0.056777 0.315551 0.063011 0.10956 0.167141 0.314388 0.276417 0.135403 0.286256 0.344766 0.013491 0.129747 0.024763 0.166894 0.138638 0.013919 -0.051657 -0.097939 0.009148 0.034698 0.127198 -0.039538 -0.052486 -0.338175 0.064598 -0.166737 -0.202688 -0.048577 0.130644 0.070866 -0.207686 0.032382 -0.223631 -0.053059 0.201182 0.088414 -0.005574 -0.038583 0.031615 0.024304 -0.068103 0.084727 -0.138108 0.127764 0.002476 0.033189 -0.160847 -0.186268 -0.115856 0.054928 0.134053 -0.036084 -0.1313 -0.422495 0.075736 -0.217351 -0.190266 -0.060931 -0.089843 -0.03513 -0.220948 0.023378 -0.160763 -0.14091 0.188416 0.108739 -0.126211 -0.125913 0.095579 -0.003926 -0.06212 -0.043889 -0.102353 0.148715 0.021678 -0.00308 -0.154936 -0.141818 -0.082276 0.041872 0.132372 -0.056105 -0.095082 -0.392556 0.078882 -0.225382 -0.160963 -0.049364 -0.126147 -0.028259 -0.18787 0.041299 -0.153672 -0.140123 0.218796 0.153906 -0.140048 -0.121477 0.091965 0.028808 -0.075403 -0.195888 -0.162944 0.084168 -0.023204 -0.018461 -0.4036 -0.192307 -0.26601 0.022753 0.146634 -0.07025 -0.207507 -0.495089 0.08118 -0.37906 -0.298171 -0.106113 -0.221009 -0.130118 -0.309735 -0.095798 -0.355934 -0.227135 0.108231 -0.001993 -0.294643 -0.265208 0.044379 -0.02214
tGravityAcc.std.X -0.89683 -0.959014 -0.982512 -0.9212 -0.945695 -0.887746 -0.914221 -0.918873 -0.921821 -0.954532 -0.979566 -0.936458 -0.957875 -0.862137 -0.96151 -0.963762 -0.961063 -0.982716 -0.95896 -0.928674 -0.945905 -0.928781 -0.947949 -0.960412 -0.829555 -0.944472 -0.971184 -0.970599 -0.97294 -0.979564 -0.968457 -0.979989 -0.957324 -0.981405 -0.983138 -0.988872 -0.957082 -0.966758 -0.95528 -0.973128 -0.988069 -0.985204 -0.981379 -0.97628 -0.982621 -0.980158 -0.990197 -0.994044 -0.969355 -0.985829 -0.992936 -0.97201 -0.984537 -0.98966 -0.98888 -0.965083 -0.982446 -0.989132 -0.984679 -0.978365 -0.993763 -0.986686 -0.98202 -0.972908 -0.974088 -0.985583 -0.987918 -0.98769 -0.989103 -0.991259 -0.994529 -0.985314 -0.992232 -0.972005 -0.988432 -0.98536 -0.985751 -0.99427 -0.992412 -0.981917 -0.982907 -0.992827 -0.98461 -0.992198 -0.993148 -0.992679 -0.994012 -0.990059 -0.996764 -0.996421 -0.97661 -0.972693 -0.977772 -0.983826 -0.979348 -0.97778 -0.979851 -0.974752 -0.980972 -0.974435 -0.981101 -0.979113 -0.972545 -0.974817 -0.978397 -0.98247 -0.980983 -0.983011 -0.969861 -0.970327 -0.969576 -0.969643 -0.977231 -0.983132 -0.979499 -0.980056 -0.979866 -0.976694 -0.978254 -0.979752 -0.95056 -0.940362 -0.950061 -0.955259 -0.950491 -0.954406 -0.964876 -0.945767 -0.952141 -0.939268 -0.954497 -0.959504 -0.952643 -0.919099 -0.942806 -0.957785 -0.950026 -0.960405 -0.899726 -0.940458 -0.940195 -0.941242 -0.950791 -0.961845 -0.96447 -0.962722 -0.946975 -0.956922 -0.941736 -0.95889 -0.956367 -0.934408 -0.944041 -0.958495 -0.95358 -0.959399 -0.932823 -0.926673 -0.954384 -0.959216 -0.953463 -0.960246 -0.946442 -0.928524 -0.952562 -0.948414 -0.94946 -0.961739 -0.916496 -0.931405 -0.940912 -0.940634 -0.933344 -0.962191 -0.950878 -0.962011 -0.956434 -0.944698 -0.954189 -0.954034
